produktKategorie,materialbedarf,steuerpflichtig,produktName,produkttyp,artikelnummer,beschreibung,standarddauer,einheit,standardpreisNetto,steuersatz,aktiv,einkaufspreis,id,created_date,updated_date,created_by_id,created_by,is_sample
"Dienstleistung","","true","Flachdach kontrollieren","dienstleistung","zcrm_863322000004156019","Flachdach kontrollieren und höheren Bewuchs entfernen. Entsorgung des Bewuchses. Wassereinlässe am Flachdach kontrollieren und reinigen.","","Stk","0","20","true","","695d304d3219eeee06e13479","2026-01-06T15:54:53.051000","2026-01-06T15:54:53.051000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Regiestunden","dienstleistung","zcrm_863322000004156014","Die Arbeiten werden als Regiearbeiten durchgeführt. Eine Partiestunde ( -- Mann) beträgt € ----- netto. Die geplante Arbeitszeit beträgt etwa -- Partiestunden plus eine Stunde Anfahrt und eine Stunde Abfahrt. Materialkosten ca. € ---. Verrechnet wird nach tatsächlichem Arbeitsaufwand.","","Std","0","20","true","","695d304cfab8b6a4eb8cfa15","2026-01-06T15:54:52.564000","2026-01-06T15:54:52.564000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Verputz Arbeiten","dienstleistung","zcrm_863322000004156009","""Einrichten der Baustelle. Seilaufbau für die Dauer der Arbeiten durchführen. Schadhafte Stellen an der Fassade mittels seilunterstützter Arbeit abschlagen und neu verputzen. Verputzte Stellen farblich angleichen. Seilabbau nach Durchführung der Arbeiten vornehmen. Räumen der Baustelle. Entsorgung des Bauschuttes. Das Angebot bezieht auf das von Boden aus ersichtliche Schadensausmaß. Wir gehen davon aus","","pauschal","0","20","true","","695d304b4bc574076261e3c4","2026-01-06T15:54:51.981000","2026-01-06T15:54:51.981000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Schadensursache muss behoben sein","dienstleistung","zcrm_863322000004156004","""Wir gehen davon aus","","pauschal","0","20","true","","695d304b20cfcd3c2e278c31","2026-01-06T15:54:51.420000","2026-01-06T15:54:51.420000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Dämpfungselement","dienstleistung","zcrm_863322000004154023","SHOCK-10 Dämpfungselement","","Stk","0","20","true","","695d304a4a523cbd51424d28","2026-01-06T15:54:50.896000","2026-01-06T15:54:50.896000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Eternit Dachschindel","dienstleistung","zcrm_863322000004154018","Gebrochene Eternit Dachschindel mittels seilunterstützter Arbeit ersetzen.","","pauschal","0","20","true","","695d304a7fb4a4529df12514","2026-01-06T15:54:50.416000","2026-01-06T15:54:50.416000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Glasreinigung Fixverglasung","dienstleistung","zcrm_863322000004154013","Fixverglasungen im Innenhof des Stiegenhauses mittels seilunterstützter Arbeit an der Außenseite reinigen.","","pauschal","0","20","true","","695d3049564685331bce4b4c","2026-01-06T15:54:49.909000","2026-01-06T15:54:49.909000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","PSA Seil mit Bandfall","dienstleistung","zcrm_863322000004154008","""PSA-BRAKE-010 Kernmantelseil (Ø 12 mm) mit mitlaufendem Auffanggerät und mit integriertem Bandfalldämpfer","","Stk","0","20","true","","695d304948ada3b6efa93b97","2026-01-06T15:54:49.410000","2026-01-06T15:54:49.410000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Abschlag Arbeiten","dienstleistung","zcrm_863322000004154003","","","pauschal","0","20","true","","695d3048377e5004c7a2a4b0","2026-01-06T15:54:48.758000","2026-01-06T15:54:48.758000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Dachhaken","dienstleistung","zcrm_863322000004152013","""SDH-31-ST-A-1 SICHERHEITSDACHHAKEN","","Stk","0","20","true","","695d30484ce94f075bf9598f","2026-01-06T15:54:48.226000","2026-01-06T15:54:48.226000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","SDH-Falz 31","dienstleistung","zcrm_863322000004152008","Sicherheitsdachhaken INDUSTRY-31","","Stk","0","20","true","","695d3047c64887f0f4d105ce","2026-01-06T15:54:47.739000","2026-01-06T15:54:47.739000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Abgerutschte Dachziegeln","dienstleistung","zcrm_863322000004152002","Baustelle einrichten. Abgerutschte Dachziegeln mittels Silikon fixiert und die restlichen Dachziegeln entlang des Ortgangbleches auf Festigkeit kontrolliert. Baustelle räumen.","","pauschal","0","20","true","","695d3047f4a544759a2a9f0e","2026-01-06T15:54:47.234000","2026-01-06T15:54:47.234000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Bewuchs Entfernung Hinweis","dienstleistung","zcrm_863322000004143059","""Da es vorkommen kann das Stränge die wieder Rückläufig zur Fassade gehen durchtrennt werden","","Stk","0","20","true","","695d3046a332bd3f049563cb","2026-01-06T15:54:46.665000","2026-01-06T15:54:46.665000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Montage Dachsicherungssysteme","dienstleistung","zcrm_863322000004143054","Montage Dachsicherungssysteme.","","pauschal","0","20","true","","695d3046b755c632cf6b3c5f","2026-01-06T15:54:46.116000","2026-01-06T15:54:46.116000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Wasserschaden Ursachenlokalisierung","dienstleistung","zcrm_863322000004143048","Ursachenlokalisierung des Wassereintrittes durchführen. Inkl. An- und Abfahrt.","","Stk","0","20","true","","695d304501ec53efb3e58fdc","2026-01-06T15:54:45.441000","2026-01-06T15:54:45.441000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Entfernung Taubenkadaver","dienstleistung","zcrm_863322000004143043","Taubenkadaver aus dem vorhandenen Taubennetz entfernen. Inklusive An- und Abfahrt.","","Stk","0","20","true","","695d304410fc1fd85ed40286","2026-01-06T15:54:44.863000","2026-01-06T15:54:44.863000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Baumrückschnitt","dienstleistung","zcrm_863322000004110017","Äste die an der Fassade streifen mittels seilunterstützter Arbeit zurückschneiden. Vertragen und Entsorgen des Schnittgutes.","","pauschal","0","20","true","","695d304423b35325da0081df","2026-01-06T15:54:44.245000","2026-01-06T15:54:44.245000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Fenster Reinigung","dienstleistung","zcrm_863322000004110012","""Baustelle Einrichten Fixverglasungen samt Rahmen an der Außenseite","","pauschal","0","20","true","","695d30438ba2c4f229340240","2026-01-06T15:54:43.687000","2026-01-06T15:54:43.687000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Kaminkopfplatte","dienstleistung","zcrm_863322000004110007","""Loses Material an der Kaminkopfplatte entfernen. Schadhafte Stellen mit Betonsanierungsmörtel auffüllen. Kaminkopfplatte reinigen","","pauschal","0","20","true","","695d3043c1ee8ced8b21285d","2026-01-06T15:54:43.135000","2026-01-06T15:54:43.135000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Stoßfugen Dachziegel","dienstleistung","zcrm_863322000004110002","Dachhaut auf beschädigte Dachziegel kontrolliert schadhafte Dachziegel ausgetauscht. Offene Stoßfugen bei den Dachziegeln abgedichtet.","","pauschal","0","20","true","","695d3042d5843010dd937292","2026-01-06T15:54:42.092000","2026-01-06T15:54:42.092000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Anschlagöse","dienstleistung","zcrm_863322000004083027","UNI-EAP-10-25 Universelle Anschlagöse (EN 795 A)","","Stk","0","20","true","","695d3041b3286f0d4db54e95","2026-01-06T15:54:41.576000","2026-01-06T15:54:41.576000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Rauchfangköpfe verputzen Angebot","dienstleistung","zcrm_863322000004083022","""Schadhaften Verputz an den Rauchfangköpfen mittels seilunterstützter Arbeit abschlagen. Abgeschlagene Flächen netzen","","pauschal","0","20","true","","695d3041bf933dd46e3b9574","2026-01-06T15:54:41.072000","2026-01-06T15:54:41.072000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Dienstleistung","","true","Spechtloch","dienstleistung","zcrm_863322000004083017","Spechtlöcher in der Wärmedämmfassade mittels seilunterstützter Arbeit mit Dämmmaterial wieder auffüllen. Ausgefüllte Spechtlöcher mittels seilunterstützter Arbeit verputzen. Verputzte Stellen farblich angleichen.","","pauschal","0","20","true","","695d3040eb7c06e74886dd90","2026-01-06T15:54:40.541000","2026-01-06T15:54:40.541000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Dach übersteigen","dienstleistung","zcrm_863322000004083012","""Einrichten der Baustelle. Errichten eines Dachgerüstes mittels Dachleitern für die Dauer der Arbeiten. Komplette Dachhaut übersteigen","","pauschal","0","20","true","","695d303f73a238e753afc7c0","2026-01-06T15:54:39.950000","2026-01-06T15:54:39.950000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Wasserschaden mit Sofortmaßnahmen","dienstleistung","zcrm_863322000004083007","Ursachenlokalisierung des Wassereintrittes durchgeführt. Sofortmaßnahmen vorgenommen.","","pauschal","0","20","true","","695d303f51022260046537e8","2026-01-06T15:54:39.469000","2026-01-06T15:54:39.469000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"Standard","","true","Innenhof Reinigung","dienstleistung","zcrm_863322000004083002","","","Stk","0","20","true","","695d303e96cb26ac204bdaa7","2026-01-06T15:54:38.917000","2026-01-06T15:54:38.917000","6937375d862a164b90207fd4","info@oswebdev.com","false"
