jahr,umsatz,monat,quelle,id,created_date,updated_date,created_by_id,created_by,is_sample
"2024","185065","6","sevDesk","698f6a6911cce70a42b3cd1a","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","186884","7","sevDesk","698f6a6911cce70a42b3cd1b","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","119763","8","sevDesk","698f6a6911cce70a42b3cd1c","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","103931","9","sevDesk","698f6a6911cce70a42b3cd1d","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","186899","10","sevDesk","698f6a6911cce70a42b3cd1e","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","208635","11","sevDesk","698f6a6911cce70a42b3cd1f","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2024","113684","12","sevDesk","698f6a6911cce70a42b3cd20","2026-02-13T18:16:09.388000","2026-02-13T18:16:09.388000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","168549","11","sevDesk","698f69c693bda3de27b09a50","2026-02-13T18:13:26.540000","2026-02-13T18:13:26.540000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","218024","12","sevDesk","698f69c693bda3de27b09a51","2026-02-13T18:13:26.540000","2026-02-13T18:13:26.540000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","37350","1","sevDesk","698f69c693bda3de27b09a46","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","67714","2","sevDesk","698f69c693bda3de27b09a47","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","173683","3","sevDesk","698f69c693bda3de27b09a48","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","144151","4","sevDesk","698f69c693bda3de27b09a49","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","181954","5","sevDesk","698f69c693bda3de27b09a4a","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","225779","6","sevDesk","698f69c693bda3de27b09a4b","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","143948","7","sevDesk","698f69c693bda3de27b09a4c","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","93166","8","sevDesk","698f69c693bda3de27b09a4d","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","227861","9","sevDesk","698f69c693bda3de27b09a4e","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"2025","315972","10","sevDesk","698f69c693bda3de27b09a4f","2026-02-13T18:13:26.539000","2026-02-13T18:13:26.539000","6937375d862a164b90207fd4","info@oswebdev.com","false"
