referenzOfferPositionId,gesamtNetto,bereitsFakturiert,teilfakturaProzent,produktName,ustSatz,beschreibung,gesamtBrutto,einzelpreisNetto,einheit,rabattProzent,pos,invoiceId,menge,id,created_date,updated_date,created_by_id,created_by,is_sample
"","0","0","100","","20","","0","0","Stk","0","1","69c1660913505d94ff2e685e","1","69c1660a177f26a59a79fd10","2026-03-23T16:10:50.113000","2026-03-23T16:11:14.006000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","3400","0","100","Taubenabwehr (Test)","20","Taubenabwehr für Friedmanngasse 29, 1160 Wien","4080","3400","Stk","0","1","69c146f87c147347c2db39a4","1","69c146f992fc79ceb4d0bc9d","2026-03-23T13:58:17.790000","2026-03-23T16:03:42.729000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","90","0","100","Regiestunden Schaden Eventualposition","20","""Das Angebot bzw. das angegebene Schadensausmaß bezieht sich auf das vom Boden aus wahrnehmbare Schadensbild. Falls das Arbeitsausmaß über die angebotenen Leistungen hinausgeht","108","90","Std","0","1","69c146f87c147347c2db39a4","1","69c146f9f7cc6c4912bec6fc","2026-03-23T13:58:17.564000","2026-03-23T16:03:42.731000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","8.01","0","100","Reinigung Innenhof","20","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","9.612","8.01","pauschal","0","1","69c146f87c147347c2db39a4","1","69c146f9d37045b93bc40b3c","2026-03-23T13:58:17.330000","2026-03-23T16:03:42.747000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","200","0","100","Lötnähte","20","Offene Lötnähte vorbehandeln und mit Flüssigkunststoff abdichten.","240","200","pauschal","0","1","69a82a7c726854940df9b931","1","69c1378ca1b096790260a097","2026-03-23T12:52:28.720000","2026-03-23T13:56:30.269000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","90","0","100","","19","","107.1","90","Stk","0","1","69a82a7c726854940df9b931","1","69c1378c0532a73ba4ff8d7e","2026-03-23T12:52:28.647000","2026-03-23T13:56:30.337000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","40","0","100","Jährliche Dachrinnenreinigung","20","Dachrinnenreinigung am gesamten Objekt durchführen. Fallrohre kontrollieren und die Sinkkörbe falls vorhanden entleeren.","48","40","pauschal","0","1","69a82a7c726854940df9b931","1","69c1224f04695348c466cce6","2026-03-23T11:21:51.533000","2026-03-23T13:56:30.350000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","79.99","0","100","Reinigung Innenhof","20","""Einrichten der Baustelle Seilaufbau für die Dauer der Arbeiten Den von Taubenkot stark verschmutzten Innenhof samt Fensterbretter (kleiner Hof zur Darwingasse 22)","95.988","79.99","pauschal","0","1","69a82a7c726854940df9b931","1","69c1224fd6feb9cb17888da3","2026-03-23T11:21:51.447000","2026-03-23T13:56:30.307000","6937375d862a164b90207fd4","info@oswebdev.com","false"
"","90","0","100","Dachrinnenreinigung","20","Hofbereich und vorderen Bereich","108","90","Stk","0","1","69a82a7c726854940df9b931","1","69a82a7c134d33b67ed95e2f","2026-03-04T12:50:04.374000","2026-03-23T13:56:30.298000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"","0","0","100","Diverse Dienstleistungen","20","Diverse Dienstleistungen - Abrechnung für Haupstraße 50, 2020 Magersdorf","0","0","Stk","0","2","6991d2a99d1fe8528c7ea874","1","6991d2b172eaefd509850e6c","2026-02-15T14:05:37.588000","2026-02-21T09:31:26.639000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"","0","0","100","Taubenabwehr","20","Taubenabwehr - Abrechnung für Haupstraße 50, 2020 Magersdorf","0","0","Stk","0","1","6991d2a99d1fe8528c7ea874","1","6991d2b1343caf2e4f1cf96c","2026-02-15T14:05:37.403000","2026-02-21T09:31:26.312000","service_5c53aeb9-b011-4785-b43e-3e2b6acf2c2a","service+5c53aeb9-b011-4785-b43e-3e2b6acf2c2a@no-reply.base44.com","false"
"","12000","0","100","Projektphase 1","19","Konzeption und Design","14280","12000","Pauschal","0","1","69373a31be57a38e284a3b6c","1","69373a47be57a38e284a3b79","2025-12-08T20:51:19.554000","2025-12-08T20:51:19.554000","6937375d862a164b90207fd4","info@oswebdev.com","false"
